timestamp,open,high,low,close,volume,RSI,ATR,MACD,Signal_Line,SMA_20,Std_Dev,Upper_Band,Lower_Band
2026-01-28 09:00:00,2990.68,3017.45,2986.59,3017.44,13870.6946,62.42937853107352,20.168571428571404,18.501608330963336,20.854421733985507,2995.4759999999997,31.97706339171697,3059.4301267834335,2931.521873216566
2026-01-28 10:00:00,3017.45,3039.78,3013.11,3025.86,18858.1508,52.17875181919363,18.56857142857143,18.972725120353516,20.47808241125911,3000.8365,27.022771153038153,3054.882042306076,2946.7909576939237
2026-01-28 11:00:00,3025.86,3045.36,3014.92,3039.72,16338.2894,59.505249761374394,18.966428571428555,20.23126134998529,20.428718199004347,3005.95,23.891744445133735,3053.7334888902674,2958.1665111097323
2026-01-28 12:00:00,3039.71,3040.31,3023.78,3031.13,13341.1615,54.276492738031266,18.77714285714283,20.301496158386726,20.403273790880824,3007.9660000000003,24.245478449870983,3056.456956899742,2959.4750431002585
2026-01-28 13:00:00,3031.14,3045.78,3029.55,3034.67,15084.4603,53.1126871552404,18.232142857142826,20.407560510742314,20.404131134853124,3013.1845000000003,16.710322203892364,3046.6051444077852,2979.7638555922154
2026-01-28 14:00:00,3034.68,3034.68,3007.64,3013.09,19228.2114,46.17387134342669,19.15999999999995,18.536613088676404,20.03062752561778,3014.9285,14.548331528500508,3044.025163057001,2985.831836942999
2026-01-28 15:00:00,3013.09,3021.23,2983.67,3008.25,31672.6289,46.55660703184366,20.462142857142812,16.473430771232415,19.31918817474071,3016.317,12.227599540642467,3040.7721990812847,2991.8618009187153
2026-01-28 16:00:00,3008.25,3017.94,2996.08,2999.72,8458.6532,46.19602467443441,21.112142857142803,13.98879014336353,18.253108568465276,3015.2645,12.720157428271245,3040.7048148565427,2989.8241851434577
2026-01-28 17:00:00,2999.72,3031.68,2989.41,3014.89,15003.7291,53.12359261403849,23.00857142857139,13.092860419040335,17.22105893858029,3015.218,12.719719708927878,3040.6574394178556,2989.778560582144
2026-01-28 18:00:00,3014.89,3024.28,3000.11,3015.51,16085.9316,55.272074945186496,23.734999999999964,12.291173479254212,16.235081846715076,3014.9935,12.670404502744256,3040.3343090054886,2989.6526909945114
2026-01-28 19:00:00,3015.51,3024.19,2996.85,3016.6,25074.3802,54.132315868365524,24.80714285714284,11.60995238991427,15.310055955354915,3014.4849999999997,12.373501610508916,3039.2320032210173,2989.737996778982
2026-01-28 20:00:00,3016.6,3038.45,3008.25,3012.21,13430.9508,49.19948994049314,25.869999999999987,10.593725583281412,14.366789880940214,3013.8825,12.164080372794,3038.210660745588,2989.5543392544123
2026-01-28 21:00:00,3012.21,3023.53,2996.66,3021.51,9777.4609,55.82730752871121,26.849285714285738,10.418690614172647,13.5771700275867,3014.047,12.24778351591155,3038.542567031823,2989.551432968177
2026-01-28 22:00:00,3021.51,3027.37,3008.83,3018.92,4968.0787,60.9190067300998,26.898571428571422,9.956213751034284,12.852978772276217,3014.452,12.269362613737188,3038.9907252274747,2989.9132747725257
2026-01-28 23:00:00,3018.92,3022.98,3008.3,3010.78,4695.5533,46.99078257726376,25.74285714285715,8.831068473634787,12.048596712547932,3014.732,12.109486320541087,3038.950972641082,2990.513027358918
2026-01-29 00:00:00,3010.78,3013.5,2995.94,3009.49,7396.7959,42.094079010914555,25.092142857142854,7.745999456029949,11.188077261244336,3015.2245000000003,11.655160354741612,3038.5348207094835,2991.914179290517
2026-01-29 01:00:00,3009.48,3011.55,2987.18,2992.71,8718.9806,27.919210897134974,24.658571428571445,5.4690251606866696,10.044266841132803,3014.6365,12.492821212284603,3039.622142424569,2989.650857575431
2026-01-29 02:00:00,2992.71,2999.21,2944.48,2959.23,25130.6276,22.628292980051867,27.387142857142894,0.9519766368625824,8.22580880027876,3011.8745,17.59578402704232,3047.0660680540846,2976.6829319459152
2026-01-29 03:00:00,2959.24,2972.73,2947.83,2952.52,12996.3442,19.463236934057065,28.006428571428614,-3.1331408862115495,5.954018862980698,3009.2470000000003,22.030124136592732,3053.307248273186,2965.1867517268147
2026-01-29 04:00:00,2952.52,2960.62,2937.55,2959.45,11696.74,27.623894543634208,27.72285714285717,-5.745205716127202,3.6141739471591174,3007.685,24.395624176220025,3056.47624835244,2958.89375164756
2026-01-29 05:00:00,2959.46,2965.69,2947.95,2951.61,6625.4673,26.94937327038913,26.307142857142903,-8.351635930835073,1.2210119715602796,3004.3935,27.280559161386247,3058.9546183227726,2949.8323816772277
2026-01-29 06:00:00,2951.6,2959.5,2950.16,2955.97,5890.8201,31.569635184092945,25.412857142857188,-9.950729279328698,-1.013336278617516,3000.8990000000003,28.818984404473042,3058.5369688089463,2943.2610311910544
2026-01-29 07:00:00,2955.97,2964.93,2955.44,2961.54,6729.7559,25.547712897607454,23.071428571428605,-10.645851084794685,-2.93983923985295,2996.9900000000002,28.57731765247606,3054.1446353049523,2939.835364695048
2026-01-29 08:00:00,2961.54,2969.79,2943.56,2952.6,15330.1663,23.209266672344512,23.218571428571458,-11.782304338822996,-4.7083322596469595,2993.0634999999997,29.031002534495467,3051.1255050689906,2935.001494931009
2026-01-29 09:00:00,2952.59,2955.2,2942.37,2942.38,9586.7934,20.673304883831165,22.18214285714287,-13.353687323160102,-6.437403272349588,2988.4489999999996,29.401957668441415,3047.2529153368823,2929.645084663117
2026-01-29 10:00:00,2942.38,2948.95,2941.36,2944.29,6855.7262,22.626148637755776,20.567142857142862,-14.280284392676549,-8.00597949641498,2985.009,30.37588515496035,3045.7607703099206,2924.2572296900794
2026-01-29 11:00:00,2944.3,2945.42,2923.77,2929.29,14851.0774,14.465166461158773,20.1942857142857,-16.04009367058643,-9.61280233124927,2981.061,32.268546180941314,3045.5980923618827,2916.5239076381176
2026-01-29 12:00:00,2929.29,2938.67,2925.89,2936.34,5631.1151,19.23707346148103,19.782857142857146,-16.673675370708224,-11.024976939141062,2977.8920000000003,33.430903383734446,3044.753806767469,2911.0301932325315
2026-01-29 13:00:00,2936.34,2939.0,2931.62,2936.14,3389.0588,20.446626544187325,19.261428571428592,-16.996012311023605,-12.219184013517571,2973.9545000000003,33.48147963701961,3040.9174592740396,2906.991540725961
2026-01-29 14:00:00,2936.15,2937.02,2875.7,2876.28,28733.6143,13.968082228834106,22.387142857142894,-21.830025443053273,-14.141352299424714,2966.993,38.48675699783566,3043.9665139956714,2890.0194860043284
2026-01-29 15:00:00,2876.29,2877.49,2797.01,2824.32,102468.461,11.734763441348818,26.394999999999982,-29.513539715235765,-17.215789782586924,2957.379,48.2261827663192,3053.8313655326383,2860.9266344673615
2026-01-29 16:00:00,2824.31,2836.45,2801.58,2835.03,81033.8684,18.518706275980875,24.976428571428546,-34.34269147019131,-20.6411701201078,2948.52,53.598277171839584,3055.716554343679,2841.323445656321
2026-01-29 17:00:00,2835.03,2860.05,2818.76,2824.34,36994.3645,18.15245478036168,26.14714285714282,-38.58760875432745,-24.230457846951733,2938.6615,57.460312552961696,3053.5821251059238,2823.7408748940766
2026-01-29 18:00:00,2824.34,2834.44,2754.53,2763.98,84813.1229,11.622884517218353,30.20714285714283,-46.28869655523977,-28.64210558860934,2925.9145,66.3144591262745,3058.5434182525487,2793.285581747451
2026-01-29 19:00:00,2763.98,2811.34,2758.18,2797.53,39427.9706,22.523004493901155,32.737142857142835,-49.118452563872324,-32.73737498366194,2915.252,69.03896341540379,3053.3299268308074,2777.1740731691925
2026-01-29 20:00:00,2797.53,2812.32,2789.39,2805.85,17205.7118,23.602025743827852,33.70785714285713,-50.11203972090516,-36.21230793111059,2905.07,69.42459953829328,3043.9191990765867,2766.2208009234137
2026-01-29 21:00:00,2805.85,2825.1,2805.36,2819.83,14512.8165,25.796754910333036,34.43999999999999,-49.20420014626234,-38.81068637414094,2896.426,68.69706140960854,3033.820122819217,2759.031877180783
2026-01-29 22:00:00,2819.83,2825.23,2810.55,2819.95,6498.4327,26.640369105061083,33.614999999999974,-47.922625549077566,-40.63307420912827,2889.4620000000004,69.05403258928348,3027.5700651785673,2751.3539348214335
2026-01-29 23:00:00,2819.96,2827.59,2812.77,2822.59,8770.7664,28.326397684096293,33.75714285714285,-46.16181780998295,-41.73882292929921,2882.9655,68.92108060940514,3020.80766121881,2745.1233387811894
2026-01-30 00:00:00,2822.6,2828.65,2802.58,2805.0,11904.1786,26.151422799027557,35.07714285714288,-45.659397868413635,-42.52293791712209,2875.243,68.55201329915916,3012.3470265983183,2738.1389734016816
2026-01-30 01:00:00,2805.0,2813.31,2689.0,2747.15,100722.8664,22.80518394648837,42.41000000000002,-49.360243807429924,-43.89039909518366,2865.02,71.73558736594045,3008.491174731881,2721.548825268119
2026-01-30 02:00:00,2747.16,2751.29,2699.16,2736.56,52452.4905,20.483422965545785,45.220714285714294,-52.54204340287106,-45.62072795672114,2854.0495,73.84084132175674,3001.7311826435134,2706.3678173564867
2026-01-30 03:00:00,2736.56,2748.34,2734.3,2741.11,17234.9452,21.55089418560557,45.69642857142857,-54.073173645419956,-47.31121709446091,2843.028,73.40177142563121,2989.8315428512624,2696.224457148737
2026-01-30 04:00:00,2741.12,2774.83,2738.11,2752.99,23751.0564,29.088503680586143,43.93928571428569,-53.70886630103087,-48.5907469357749,2833.0474999999997,71.25831126963037,2975.5641225392606,2690.530877460739
2026-01-30 05:00:00,2753.0,2760.61,2747.01,2747.02,11869.7987,34.46543408360127,39.162142857142854,-53.28761278276579,-49.53012010517308,2823.2795,68.83085687125421,2960.9412137425084,2685.617786257492
